Name,Sex,A-Date,I-Date,"Hired Status","Manufacturing Experience",Department,Supervisor,"Referred by","Home Telephone"
"x 2",Male,2018-03-13,2018-03-06,Hired," ",HR,0,N/A,"+1 "
"hrcheck hrcheck",Female,2018-01-06,2018-01-08,Hired,"1 yr ",Inventory,hrcheck,hrcheck,"+1 (234) 234-3243"
"Checkfirstname Checkfirstname",Male,2018-01-12,2018-01-19,"No Application","1 yr ",HR,2342,32432,"+1 (324) 234-2343"
"ewrw wer","Not specified",2018-01-03,2018-01-12,"No Application","1 yr ",HR,324,23432,"+1 (324) 324-3243"
"Ridgemont Napier",Male,2018-01-11,2018-01-12,Hired,"1 yr ",Inventory,check1,check1,"+1 (234) 324-3243"
"check check",Female,2018-01-11,2018-01-04,"On Consideration","1 yr ",HR,check,check,"+1 (234) 242-3432"
"test test",Female,2018-01-05,2018-01-11,"On Consideration","1 yr ",Inventory,23432,363w6,"+1 (324) 324-3242"
"test test",Male,2018-01-17,2018-01-11,"On Consideration","1 yr ",HR,342,32423,"+1 (234) 324-3243"
"Ruth Wison",Female,2018-01-02,2018-01-03,"On Consideration","1 yr ",Finance,"Supervisor HR",Referrer,"+1 (234) 242-3423"
"tse wet234",Male,2018-01-03,2018-01-10,Hired,"1 yr ",Finance,23423,34,"+1 (324) 234-2343"
"test wetwetwwe",Female,2018-01-05,2018-01-05,"On Consideration","1 yr ",Inventory,3242,23432,"+1 (324) 234-3243"
"Manuv Dimer",Male,2018-01-12,2018-01-19,Pending,"1 yr ",Shipping,ewga,werewr,"+1 (234) 234-3223"
"Jrtest Test",Male,2018-01-04,2018-01-05,Pending,"1 yr ",HR,32423,2342,"+1 (345) 234-3242"
"test test",Female,2018-01-03,2018-01-16,Pending,"1 yr ",HR,324,324,"+1 (234) 234-2423"
"Mark12 Anthony",Male,2018-01-10,2018-01-11,"On Consideration","1 yr ",Finance,Mark,Mark,"+1 (238) 794-2733"
"Brinda Mills",Female,2018-01-02,2018-01-01,"On Consideration","1 yr ",HR,"Ken ",Richard,"+1 (324) 324-3243"
"test test",Male,2018-01-04,2018-01-18,"On Consideration","1 yr ",Inventory,test,test,"+1 (234) 324-3243"
"Jennifer Richards",Female,2017-12-22,2018-01-18,"On Consideration","1 yr ",Inventory,"Lester Winfred","Rob Marriot ","+1 (342) 346-4786"
"Richard Jackson",Male,2018-01-16,2018-02-13,Hired,"1 yr ",HR,"Meno Hob","Rubin Cube","+1 (234) 324-2343"
"Mike Sullivan",Male,2017-12-01,2018-01-01,Hired,"1 yr ",HR,"Ruth Silverstone","Mark Robinson","+1 (213) 123-1233"
"123 123",Female,2017-12-29,2017-12-29,"On Consideration","1 yr ",HR,123,123,"+1 (123) 213-1232"
